time(ms), id1, x1(mm), y1, z1, id2, x2, y2, z2, id3, x3, y3, z3
28937949.066,0,17.6341,159.994,228.676,1,41.0613,158.534,119,2,-1.49575,185.46,92.3613
28937961.032,0,16.7251,158.147,224.571,1,40.5855,161.504,114.087,2,-1.98543,188.333,88.0069
28937996.967,0,13.9609,158.738,220.071,1,40.0255,167.901,104.489,2,-14.5919,179.157,89.6062
28938057.24,0,38.7837,179.182,81.9695,1,-33.927,171.986,80.8102,2,-3.49284,205.262,59.4016
28938081.005,0,-38.1819,172.097,75.1518,1,38.4531,181.146,73.7337,2,-3.55067,206.048,54.975
28938105.228,0,-39.6955,173.109,69.4896,1,38.4455,182.637,67.4034,2,-3.43674,206.905,50.0963
28938128.949,0,-40.7694,173.329,64.3456,1,38.1758,183.815,62.0787,2,-3.55764,207.261,46.5442
28938141.086,0,-40.7859,174.21,61.5299,1,37.8872,184.113,59.5689,2,-3.86037,207.74,43.7633
28938165.019,0,-41.2819,175.185,56.1285,1,37.0327,184.516,54.3214,2,-4.90372,208.487,37.7048
28938189.041,0,-41.9777,175.879,51.4323,1,35.9823,185.137,49.6006,2,-6.12644,209.006,31.6254
28938213.03,0,-42.5617,176.046,46.835,1,35.1901,185.819,45.1574,2,-7.14101,209.501,27.286
28938225.027,0,-42.7352,176.41,44.8802,1,34.8043,186.344,43.3841,2,-7.48981,209.664,24.7488
28938260.997,0,-43.5982,176.588,39.7328,1,34.0086,187.719,38.2323,2,-8.30911,210.684,20.3026
28938285.216,0,-43.4015,176.745,37.1558,1,33.3749,187.987,35.8398,2,-9.25703,211.874,16.2352
28938309.005,0,-43.4487,177.155,34.9977,1,32.8283,188.757,33.809,2,-9.95849,212.744,13.3515
28938332.994,0,-43.4171,177.62,33.0968,1,32.6286,189.156,31.902,2,-10.2527,213.4,11.2678
28938357.067,0,-43.0619,177.979,31.6919,1,32.7202,189.315,30.3821,2,-10.205,213.969,9.52078
28938380.99,0,-42.8042,178.448,30.2891,1,33.0302,189.765,29.1721,2,-9.8788,214.445,7.90238
28938405.251,0,-42.4414,179.478,29.3891,1,33.4695,190.529,28.2689,2,-9.42683,215.138,7.3233
28938417.111,0,-42.1332,180.052,29.1521,1,33.7477,190.873,27.9925,2,-9.09624,215.604,7.19178
28938453.154,0,-41.1258,181.33,28.2641,1,34.6847,191.897,27.5499,2,-7.86425,216.705,6.40346
28938477.089,0,-40.5781,182.188,27.7566,1,35.2711,192.415,27.3711,2,-7.08875,217.338,6.24156
28938489.238,0,-39.9435,182.608,28.0874,1,35.8553,192.659,27.7796,2,-6.47439,217.81,5.89796
28938525.203,0,37.3127,193.4,28.8683,1,-38.5036,183.816,28.5829,2,-4.84491,219.052,6.0188
28938537.296,0,37.7592,193.955,29.3029,1,-38.0814,184.266,28.7726,2,-4.33166,219.453,6.32399
28938573.121,0,38.5788,194.699,29.2379,1,-37.3553,185.381,28.7514,2,-3.34835,220.281,6.06953
28938597.195,0,39.1848,194.848,30.3219,1,-36.7548,186.021,29.7074,2,-2.66124,220.578,7.24423
28938621.57,0,39.5414,195.057,30.732,1,-36.4998,186.534,30.0262,2,-2.29931,220.989,7.89049
28938633.168,0,39.5349,195.092,30.9161,1,-36.4185,186.764,30.1697,2,-2.2293,221.181,7.92355
28938669.175,0,39.439,195.853,31.1249,1,-36.4224,187.523,30.5454,2,-2.20602,221.699,7.45934
28938681.507,0,39.4085,196.23,31.0967,1,-36.5052,187.821,30.6526,2,-2.29202,221.947,7.32562
28938717.258,0,39.0621,196.968,30.917,1,-36.895,188.401,30.407,2,-2.6823,222.745,7.33731
28938741.251,0,38.6051,197.117,30.524,1,-37.2278,188.781,30.1909,2,-3.15184,223.251,7.58942
28938765.413,0,38.0003,197.359,30.0801,1,-37.6656,189.632,30.0379,2,-3.74422,223.942,7.25068
28938789.266,0,-38.3154,190.274,29.6201,1,37.4651,198.061,29.5185,2,-4.40582,224.732,6.95664
28938813.32,0,-38.992,191.038,29.2836,1,36.8619,198.719,28.9658,2,-5.16277,225.468,6.69679
28938837.244,0,-39.6925,191.805,28.9808,1,36.1081,199.147,28.3939,2,-5.91011,226.187,6.33109
