time(ms), x(mm), y, z, ax(m/s2), ay, az
28886470.688,0.16985768884,227.88868362,115.65607297,1.4748474911,11.125636197,3.1551204644
28886471.188,0.16823749219,227.79532607,115.648061,1.4554924093,11.00076555,3.1103107699
28886471.688,0.16663414285,227.70466378,115.63893808,1.4360993488,10.875780367,3.0661096444
28886472.188,0.16504668649,227.61666633,115.62871753,1.4166697815,10.7506838,3.0225023395
28886472.688,0.16347416879,227.53130332,115.61741268,1.3972051593,10.62547894,2.9794742216
28886473.188,0.16191563545,227.44854434,115.60503687,1.3777069141,10.500168821,2.9370107747
28886473.688,0.16037013215,227.36835898,115.59160341,1.3581764584,10.374756425,2.8950976031
28886474.188,0.15883670457,227.29071682,115.57712563,1.3386151847,10.249244672,2.8537204344
28886474.688,0.15731439839,227.21558746,115.56161687,1.3190244659,10.123636434,2.8128651216
28886475.188,0.15580225929,227.14294048,115.54509046,1.2994056553,9.9979345266,2.772517646
28886475.688,0.15429933297,227.07274547,115.52755971,1.2797600867,9.8721417122,2.73266412
28886476.188,0.1528046651,227.00497202,115.50903796,1.2600890746,9.7462607024,2.6932907882
28886476.688,0.15131730137,226.93958972,115.48953854,1.2403939138,9.6202941582,2.6543840309
28886477.188,0.14983628746,226.87656816,115.46907477,1.22067588,9.4942446898,2.6159303654
28886477.688,0.14836066906,226.81587693,115.44765999,1.2009362296,9.3681148592,2.5779164491
28886478.188,0.14688949184,226.75748562,115.42530752,1.1811761997,9.2419071791,2.5403290798
28886478.688,0.1454218015,226.70136381,115.40203068,1.1613970081,9.1156241154,2.5031551992
28886479.188,0.14395664371,226.6474811,115.37784281,1.1415998538,8.9892680874,2.466381894
28886479.688,0.14249306417,226.59580708,115.35275724,1.1217859165,8.8628414681,2.4299963977
28886480.188,0.14103010855,226.54631132,115.32678729,1.1019563568,8.7363465862,2.3939860925
28886480.688,0.13956682253,226.49896343,115.29994629,1.0821123165,8.6097857258,2.3583385105
28886481.188,0.1381022518,226.45373299,115.27224757,1.0622549184,8.4831611277,2.3230413359
28886481.688,0.13663544205,226.41058959,115.24370445,1.0423852662,8.3564749904,2.2880824057
28886482.188,0.13516543896,226.36950282,115.21433027,1.022504445,8.22972947,2.2534497118
28886482.688,0.13369128821,226.33044226,115.18413836,1.0026135209,8.1029266823,2.219131402
28886483.188,0.13221203548,226.29337752,115.15314203,0.98271354123,7.9760687021,2.1851157816
28886483.688,0.13072672646,226.25827817,115.12135463,0.96280553463,7.849157565,2.1513913141
28886484.188,0.12923440684,226.2251138,115.08878947,0.94289051091,7.7221952674,2.1179466233
28886484.688,0.12773412229,226.19385401,115.05545989,0.92296946122,7.5951837677,2.0847704934
28886485.188,0.1262249185,226.16446839,115.02137921,0.90304335802,7.4681249865,2.0518518709
28886485.688,0.12470584115,226.13692651,114.98656076,0.88311315516,7.341020808,2.0191798655
28886486.188,0.12317593594,226.11119798,114.95101787,0.86317978779,7.2138730795,1.9867437506
28886486.688,0.12163424853,226.08725238,114.91476387,0.84324417254,7.0866836131,1.9545329652
28886487.188,0.12007982461,226.06505929,114.87781208,0.82330720739,6.9594541853,1.922537114
28886487.688,0.11851170988,226.04458832,114.84017584,0.80336977188,6.8321865394,1.8907459684
28886488.188,0.11692895,226.02580904,114.80186847,0.78343272682,6.7048823828,1.8591494678
28886488.688,0.11533059067,226.00869105,114.7629033,0.76349691469,6.5775433913,1.8277377201
28886489.188,0.11371567757,225.99320393,114.72329366,0.74356315939,6.4501712071,1.7965010024
28886489.688,0.11208325639,225.97931728,114.68305288,0.72363226629,6.3227674398,1.7654297617
28886490.188,0.11043237279,225.96700068,114.64219427,0.70370502237,6.1953336679,1.7345146159
28886490.688,0.10876207248,225.95622372,114.60073118,0.68378219609,6.0678714377,1.7037463542
28886491.188,0.10707140113,225.946956,114.55867693,0.66386453747,5.9403822648,1.6731159379
28886491.688,0.10535940443,225.93916709,114.51604485,0.64395277816,5.8128676348,1.6426145008
28886492.188,0.10362512806,225.9328266,114.47284827,0.62404763124,5.6853290022,1.6122333499
28886492.688,0.1018676177,225.9279041,114.42910051,0.60414979152,5.5577677927,1.5819639658
28886493.188,0.10008591904,225.92436919,114.3848149,0.5842599353,5.4301854018,1.5517980037
28886493.688,0.098279077766,225.92219145,114.34000477,0.56437872052,5.3025831968,1.521727293
28886494.188,0.096446139553,225.92134048,114.29468345,0.54450678663,5.1749625152,1.4917438387
28886494.688,0.09458615009,225.92178587,114.24886426,0.52464475485,5.0473246676,1.4618398211
28886495.188,0.092698155058,225.9234972,114.20256055,0.50479322785,4.9196709352,1.4320075971
28886495.688,0.090781200143,225.92644406,114.15578562,0.48495278994,4.7920025719,1.4022396988
28886496.188,0.088834331028,225.93059604,114.10855281,0.46512400709,4.6643208042,1.3725288364
28886496.688,0.086856593396,225.93592273,114.06087546,0.44530742683,4.5366268309,1.3428678964
28886497.188,0.08484703293,225.94239373,114.01276688,0.4255035783,4.4089218242,1.3132499428
28886497.688,0.082804695316,225.94997861,113.9642404,0.40571297226,4.2812069288,1.2836682177
28886498.188,0.080728626236,225.95864696,113.91530936,0.38593610103,4.1534832632,1.2541161405
28886498.688,0.078617871373,225.96836839,113.86598708,0.36617343861,4.0257519192,1.2245873095
28886499.188,0.076471476412,225.97911247,113.81628689,0.34642544054,3.8980139624,1.1950755012
28886499.688,0.074288487036,225.99084879,113.76622211,0.32669254389,3.7702704316,1.1655746704
28886500.188,0.072067948929,226.00354695,113.71580608,0.30697516749,3.6425223404,1.1360789517
28886500.688,0.069808907775,226.01717653,113.66505213,0.28727371155,3.5147706757,1.1065826577
28886501.188,0.067510409256,226.03170712,113.61397357,0.26758855799,3.3870163986,1.077080281
28886501.688,0.065171499057,226.04710831,113.56258374,0.2479200702,3.2592604448,1.0475664931
28886502.188,0.062791222862,226.06334969,113.51089598,0.22826859323,3.1315037241,1.0180361453
28886502.688,0.060368626353,226.08040085,113.45892359,0.20863445359,3.0037471204,0.98848426825
28886503.188,0.057902755215,226.09823137,113.40667992,0.18901795938,2.8759914921,0.95890607252
28886503.688,0.055392655131,226.11681086,113.35417829,0.1694194002,2.7482376722,0.92929694834
28886504.188,0.052837371785,226.13610888,113.30143204,0.14983904718,2.6204864679,0.89965246591
28886504.688,0.050235950861,226.15609505,113.24845448,0.13027715297,2.4927386609,0.8699683749
28886505.188,0.047587438041,226.17673893,113.19525894,0.11073395173,2.3649950075,0.84024060573
28886505.688,0.044890879011,226.19801013,113.14185876,0.091209659087,2.2372562381,0.81046526815
28886506.188,0.042145319452,226.21987823,113.08826726,0.071704472154,2.1095230579,0.78063865203
28886506.688,0.03934980505,226.24231282,113.03449777,0.05221856951,1.9817961462,0.75075722732
28886507.188,0.036503381488,226.26528349,112.98056362,0.032752111191,1.8540761567,0.72081764405
28886507.688,0.033605094448,226.28875982,112.92647813,0.013305238676,1.7263637174,0.69081673201
28886508.188,0.030653989616,226.31271142,112.87225464,-0.0061219251556,1.5986594306,0.66075150079
28886508.688,0.027649112674,226.33710786,112.81790647,-0.025529275889,1.4709638731,0.63061914068
28886509.188,0.024589509307,226.36191873,112.76344695,-0.044916727892,1.3432775948,0.60041702056
28886509.688,0.021474225197,226.38711364,112.70888941,-0.06428421398,1.2156011207,0.57014269025
28886510.188,0.018302306029,226.41266215,112.65424718,-0.083631685673,1.0879349492,0.53979387839
28886510.688,0.015072797486,226.43853387,112.59953358,-0.10295911305,0.96027955285,0.50936849405
28886511.188,0.011784745251,226.46469837,112.54476194,-0.12226648494,0.83263537764,0.47886462505
28886511.688,0.0084371950091,226.49112526,112.4899456,-0.14155380875,0.70500284327,0.44828053924
28886512.188,0.005029192443,226.51778412,112.43509787,-0.16082111055,0.57738234335,0.41761468363
28886512.688,0.0015597832366,226.54464454,112.38023209,-0.18006843516,0.44977424461,0.38686568425
28886513.188,-0.0019719869266,226.5716761,112.32536158,-0.199295846,0.32217888749,0.35603234684
28886513.688,-0.0055670723628,226.5988484,112.27049967,-0.21850342535,0.19459658476,0.32511365527
28886514.188,-0.0092264273885,226.62613102,112.2156597,-0.23769127401,0.06702762362,0.2941087732
28886514.688,-0.01295100632,226.65349356,112.16085499,-0.25685951169,-0.060527736755,0.26301704209
28886515.188,-0.016741763474,226.68090561,112.10609886,-0.27600827673,-0.18806926394,0.23183798304
28886515.688,-0.020599653166,226.70833674,112.05140464,-0.29513772627,-0.31559675257,0.20057129478
28886516.188,-0.024525629713,226.73575656,111.99678568,-0.31424803627,-0.44311002525,0.16921685443
28886516.688,-0.028520647432,226.76313465,111.94225528,-0.33333940132,-0.57060893129,0.13777471809
28886517.188,-0.032585660638,226.79044059,111.88782678,-0.35241203497,-0.69809334825,0.10624511867
28886517.688,-0.036721623648,226.81764399,111.8335135,-0.37146616942,-0.82556318098,0.074628468078
28886518.188,-0.040929490778,226.84471442,111.77932879,-0.39050205582,-0.95301836263,0.042925354975
28886518.688,-0.045210216346,226.87162148,111.72528595,-0.40951996401,-1.0804588539,0.011136546437
28886519.188,-0.049564754666,226.89833476,111.67139833,-0.42852018273,-1.2078846439,-0.020737013594
28886519.688,-0.053994060056,226.92482383,111.61767925,-0.44750301955,-1.3352957497,-0.052694203889
28886520.188,-0.058499086832,226.95105831,111.56414203,-0.46646880088,-1.4626922172,-0.084733725687
28886520.688,-0.063080789309,226.97700776,111.51080001,-0.48541787193,-1.5900741197,-0.1168541038
28886521.188,-0.067740121806,227.00264179,111.45766652,-0.50435059685,-1.7174415603,-0.14905368582
