timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3
47219561490 , 0 , -21.7253 , 182.081 , 35.9666 , 1 , -59.7056 , 152.788 , 59.1193 , 2 , 18.3827 , 151.739 , 60.9115 , 
47219598392 , 0 , -21.7834 , 185.605 , 35.4601 , 1 , -59.7015 , 156.208 , 58.6075 , 2 , 18.1403 , 156.417 , 60.9214 , 
47219635423 , 0 , -21.6381 , 188.503 , 35.111 , 1 , -59.5976 , 159.043 , 58.0463 , 2 , 18.0872 , 159.986 , 60.7925 , 
47219659857 , 0 , -21.4505 , 190.147 , 35.219 , 1 , -59.3031 , 160.445 , 57.6977 , 2 , 18.1755 , 161.858 , 60.7125 , 
47219696804 , 0 , -21.145 , 192.392 , 34.5316 , 1 , -58.9648 , 162.565 , 57.3142 , 2 , 18.4081 , 164.307 , 60.5931 , 3 , -16.1826 , 152.604 , 176.382 , 
47219745895 , 0 , -21.4279 , 195.216 , 34.0902 , 1 , -59.1787 , 165.475 , 56.9891 , 2 , 18.1236 , 167.656 , 60.3242 , 3 , -17.7707 , 160.302 , 184.674 , 
47219770539 , 0 , -21.7101 , 196.822 , 34.0371 , 1 , -59.4236 , 166.972 , 56.7116 , 2 , 17.7699 , 169.198 , 60.0988 , 3 , -18.9042 , 162.903 , 185.684 , 
47219807470 , 0 , -21.9761 , 199.096 , 33.1692 , 1 , -59.5834 , 169.034 , 56.1356 , 2 , 17.4274 , 171.285 , 59.4664 , 3 , -19.8378 , 171.729 , 189.874 , 
47219856761 , 0 , -22.2477 , 201.588 , 32.2663 , 1 , -59.9655 , 171.866 , 55.1497 , 2 , 17.0083 , 174.001 , 58.6058 , 
47219893520 , 0 , -22.4625 , 203.32 , 31.6898 , 1 , -60.1179 , 173.535 , 54.2197 , 2 , 16.7598 , 175.452 , 57.659 , 
47219930385 , 0 , -22.5447 , 204.434 , 29.8898 , 1 , -60.3139 , 174.627 , 52.6254 , 2 , 16.6333 , 176.291 , 55.9249 , 
47219967268 , 0 , -22.851 , 205.617 , 27.8181 , 1 , -60.7225 , 176.341 , 51.2476 , 2 , 16.1606 , 178.082 , 54.58 , 
47220004136 , 0 , -23.3295 , 206.909 , 25.6533 , 1 , -61.2294 , 177.798 , 49.5803 , 2 , 15.64 , 179.506 , 52.8363 , 
47220053389 , 0 , -23.9673 , 209.063 , 23.8607 , 1 , -61.754 , 180.009 , 47.4757 , 2 , 14.9595 , 182.181 , 50.9472 , 
47220102491 , 0 , -24.6313 , 211.457 , 21.9402 , 1 , -62.3936 , 182.425 , 45.1376 , 2 , 14.2911 , 184.738 , 48.6039 , 
47220139360 , 0 , -25.0454 , 213.245 , 19.6841 , 1 , -62.8448 , 184.661 , 43.6205 , 2 , 13.7767 , 186.848 , 46.9526 , 
47220213283 , 0 , -25.6232 , 217.277 , 16.4722 , 1 , -63.4469 , 188.328 , 40.2426 , 2 , 13.3484 , 191.364 , 43.6762 , 
47220276173 , 0 , -26.7449 , 220.855 , 14.3007 , 1 , -64.4821 , 192.025 , 37.7863 , 2 , 12.1172 , 195.022 , 41.0432 , 
47220312972 , 0 , -27.2056 , 222.893 , 12.6796 , 1 , -64.9236 , 194.374 , 36.5738 , 2 , 11.702 , 196.517 , 39.2323 , 
47220348494 , 0 , -27.4802 , 225.659 , 12.7308 , 1 , -64.9451 , 196.237 , 35.467 , 2 , 11.3187 , 198.501 , 38.1959 , 
47220385407 , 0 , -27.5632 , 228.505 , 12.0828 , 1 , -64.965 , 198.63 , 34.5071 , 2 , 11.1301 , 200.774 , 37.3428 , 
47220422260 , 0 , -27.4819 , 231.313 , 12.152 , 1 , -64.83 , 200.967 , 33.4914 , 2 , 11.1137 , 202.931 , 36.5976 , 
47220459122 , 0 , -27.076 , 234.017 , 11.5386 , 1 , -64.3405 , 203.26 , 32.7185 , 2 , 11.4072 , 205.303 , 35.9008 , 
47220483759 , 0 , -26.8854 , 235.776 , 11.1521 , 1 , -64.0311 , 204.867 , 32.205 , 2 , 11.5059 , 206.913 , 35.4948 , 
47220520604 , 0 , -26.86 , 238.323 , 10.1022 , 1 , -63.9294 , 207.279 , 31.0824 , 2 , 11.3999 , 209.547 , 34.5971 , 
47220558427 , 0 , -27.0799 , 241.021 , 9.30672 , 1 , -64.2364 , 210.505 , 30.1059 , 2 , 11.2367 , 212.157 , 33.3139 , 
47220582145 , 0 , -27.3386 , 243.022 , 8.4008 , 1 , -64.3745 , 212.442 , 29.4993 , 2 , 10.8757 , 213.758 , 32.5474 , 
47220619019 , 0 , -27.968 , 245.882 , 6.38379 , 1 , -64.9604 , 215.132 , 27.8364 , 2 , 10.1346 , 216.832 , 31.103 , 
47220643600 , 0 , -28.5308 , 247.836 , 5.01172 , 1 , -65.5175 , 217.081 , 26.7891 , 2 , 9.66599 , 219.13 , 29.7654 , 
47220680574 , 0 , -29.4173 , 251.27 , 4.0358 , 1 , -66.6191 , 220.318 , 25.0138 , 2 , 8.71242 , 222.527 , 28.2846 , 
47220717340 , 0 , -30.1943 , 254.135 , 1.73216 , 1 , -67.3855 , 223.384 , 23.7759 , 2 , 7.95795 , 225.342 , 26.5849 , 
47220741980 , 0 , -30.6666 , 256.021 , 0.615095 , 1 , -67.9066 , 225.266 , 22.8769 , 2 , 7.4775 , 226.824 , 25.4489 , 
