timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3, edge1, edge2, edge3
39424299256 , 0 , 102.899 , 259.2 , 195.078 , 1 , 63.8555 , 224.581 , 197.079 , 2 , 136.657 , 216.772 , 210.136 , 52.2199 , 56.2716 , 74.374 , 
39424311449 , 0 , 102.858 , 259.593 , 192.988 , 1 , 63.9403 , 225.399 , 195.212 , 2 , 136.952 , 217.677 , 207.869 , 51.8534 , 56.043 , 74.5019 , 
39424335362 , 0 , 102.784 , 261.278 , 188.651 , 1 , 63.8441 , 227.103 , 190.939 , 2 , 136.542 , 219.149 , 203.719 , 51.8602 , 56.049 , 74.2399 , 
39424359448 , 0 , 101.918 , 262.186 , 184.293 , 1 , 62.7206 , 227.489 , 187.117 , 2 , 135.723 , 220.399 , 199.666 , 52.4239 , 55.9043 , 74.4114 , 
39424383409 , 0 , 100.298 , 261.547 , 179.813 , 1 , 60.7516 , 226.815 , 183.238 , 2 , 133.937 , 219.85 , 194.998 , 52.7444 , 55.6849 , 74.4507 , 
39424395380 , 0 , 99.4385 , 260.943 , 178.324 , 1 , 59.5801 , 226.188 , 180.609 , 2 , 132.978 , 219.343 , 192.937 , 52.9323 , 55.3979 , 74.7396 , 
39424419320 , 0 , 98.1237 , 259.814 , 175.006 , 1 , 58.2352 , 225.596 , 178.032 , 2 , 131.698 , 218.283 , 188.961 , 52.6408 , 55.1971 , 74.6303 , 
39424443382 , 0 , 96.2726 , 258.216 , 169.526 , 1 , 56.1002 , 223.789 , 175.212 , 2 , 129.638 , 216.207 , 184.39 , 53.2107 , 55.668 , 74.4951 , 
39424455428 , 0 , 95.3237 , 257.402 , 168.153 , 1 , 55.148 , 223.219 , 173.829 , 2 , 128.869 , 215.613 , 182.627 , 53.055 , 55.5078 , 74.6324 , 
39424467373 , 0 , 94.5392 , 256.681 , 166.908 , 1 , 54.2974 , 222.319 , 172.521 , 2 , 127.871 , 214.936 , 181.276 , 53.2134 , 55.318 , 74.4593 , 
39424503435 , 0 , 92.5709 , 254.275 , 162.466 , 1 , 52.348 , 220.564 , 168.275 , 2 , 126.225 , 213.314 , 177.264 , 52.8023 , 55.04 , 74.7742 , 
39424527415 , 0 , 91.3025 , 252.72 , 159.772 , 1 , 51.3747 , 219.466 , 166.803 , 2 , 124.983 , 211.13 , 173.937 , 52.4354 , 55.36 , 74.4215 , 
39424551353 , 0 , 90.2745 , 251.354 , 158.369 , 1 , 50.6982 , 218.449 , 165.27 , 2 , 124.264 , 210.318 , 172.272 , 51.9292 , 55.0679 , 74.3439 , 
39424563412 , 0 , 89.917 , 250.832 , 157.972 , 1 , 50.5051 , 218.213 , 164.579 , 2 , 124.086 , 210.049 , 171.491 , 51.584 , 54.8952 , 74.3547 , 
