time since 1970(s), ms
1401178645, 492
timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3, edge1, edge2, edge3
27356112324 , 0 , 5.31678 , 163.228 , 103.421 , 1 , -51.809 , 111.06 , 134.629 , 2 , 65.9875 , 109.436 , 140.447 , 83.419 , 89.1371 , 117.951 , 
27356124441 , 0 , 5.30994 , 163.388 , 101.429 , 1 , -51.8546 , 111.66 , 133.091 , 2 , 66.0825 , 109.852 , 139.159 , 83.3429 , 89.3473 , 118.107 , 
27356148419 , 0 , 5.01936 , 163.59 , 97.6912 , 1 , -52.2716 , 112.279 , 129.395 , 2 , 65.7488 , 110.502 , 136.057 , 83.1876 , 89.3219 , 118.222 , 
27356172479 , 0 , 4.43545 , 164.024 , 93.321 , 1 , -53.0003 , 112.711 , 125.28 , 2 , 65.2979 , 111.286 , 132.636 , 83.3866 , 89.6175 , 118.535 , 
27356196465 , 0 , 3.78357 , 164.659 , 89.3488 , 1 , -53.7583 , 113.558 , 121.227 , 2 , 64.8446 , 112.584 , 129.24 , 83.2984 , 89.6186 , 118.877 , 
27356220425 , 0 , 3.30408 , 165.653 , 85.7427 , 1 , -54.271 , 114.141 , 116.545 , 2 , 63.9777 , 114.171 , 125.735 , 83.1697 , 89.0565 , 118.605 , 
27356244419 , 0 , 2.78564 , 166.793 , 81.6827 , 1 , -54.8168 , 115.197 , 112.261 , 2 , 63.4505 , 115.502 , 121.77 , 83.1576 , 88.983 , 118.649 , 
27356268479 , 0 , 1.96457 , 167.682 , 77.7902 , 1 , -55.4142 , 116.352 , 108.165 , 2 , 62.6345 , 116.729 , 117.654 , 82.7631 , 88.6915 , 118.43 , 
27356292422 , 0 , 0.939952 , 168.495 , 74.1467 , 1 , -56.2342 , 117.21 , 104.035 , 2 , 61.4181 , 117.703 , 113.432 , 82.4158 , 88.2087 , 118.028 , 
27356316519 , 0 , 0.00694896 , 169.299 , 70.3327 , 1 , -57.0104 , 118.692 , 100.533 , 2 , 59.7736 , 119.225 , 109.671 , 82.0006 , 87.3324 , 117.142 , 
27356340439 , 0 , -0.727428 , 170.098 , 66.9186 , 1 , -57.6428 , 119.712 , 97.5073 , 2 , 58.5423 , 120.389 , 106.697 , 81.9375 , 86.9839 , 116.55 , 
27356364480 , 0 , -1.28713 , 170.563 , 63.382 , 1 , -58.3253 , 120.925 , 94.1208 , 2 , 57.3081 , 121.227 , 102.587 , 81.622 , 86.0493 , 115.943 , 
27356388452 , 0 , -1.73678 , 171.164 , 60.0135 , 1 , -59.0282 , 121.491 , 90.4992 , 2 , 57.0977 , 121.913 , 98.9949 , 81.7252 , 86.0621 , 116.437 , 
27356412428 , 0 , -2.22131 , 171.828 , 57.3555 , 1 , -59.678 , 121.821 , 87.2809 , 2 , 56.6079 , 122.374 , 95.921 , 81.8382 , 85.9875 , 116.608 , 
27356424513 , 0 , -2.39658 , 172.223 , 56.125 , 1 , -60.1105 , 122.11 , 85.6481 , 2 , 56.2235 , 122.69 , 94.3722 , 81.9379 , 85.7482 , 116.662 , 
27356448385 , 0 , -2.73679 , 173.013 , 53.0883 , 1 , -60.6158 , 123.384 , 83.3884 , 2 , 55.9561 , 123.562 , 92.0084 , 82.0436 , 86.0529 , 116.89 , 
27356472442 , 0 , -2.98213 , 173.625 , 50.6646 , 1 , -61.0798 , 124.305 , 81.0576 , 2 , 55.3594 , 124.473 , 89.7388 , 82.0455 , 85.7114 , 116.763 , 
27356496490 , 0 , -3.16718 , 173.963 , 47.7465 , 1 , -61.2982 , 125.311 , 79.3558 , 2 , 55.071 , 124.482 , 87.3033 , 82.1299 , 86.0509 , 116.643 , 
27356520578 , 0 , -3.11575 , 173.832 , 46.7981 , 1 , -61.4116 , 125.46 , 77.5214 , 2 , 55.0808 , 124.288 , 85.2724 , 81.7449 , 85.5675 , 116.756 , 
27356544631 , 0 , -2.92814 , 173.614 , 45.5198 , 1 , -61.3047 , 125.824 , 76.2043 , 2 , 54.8127 , 124.759 , 84.1463 , 81.4445 , 84.9286 , 116.394 , 
27356568576 , 0 , -2.76994 , 173.441 , 44.3047 , 1 , -61.45 , 125.133 , 74.1938 , 2 , 54.8583 , 124.198 , 82.5746 , 81.6723 , 84.9146 , 116.614 , 
27356604624 , 0 , -2.42356 , 172.959 , 42.74 , 1 , -61.432 , 124.606 , 71.8825 , 2 , 55.0015 , 123.978 , 81.0174 , 81.6657 , 84.6281 , 116.793 , 
27356628652 , 0 , -2.20048 , 172.429 , 41.9073 , 1 , -61.117 , 124.652 , 71.1044 , 2 , 55.2703 , 123.779 , 80.1423 , 81.2791 , 84.4493 , 116.741 , 
27356664573 , 0 , -1.92257 , 171.401 , 40.402 , 1 , -60.7962 , 124.011 , 69.922 , 2 , 55.5053 , 123.156 , 78.8023 , 81.1381 , 84.2624 , 116.643 , 
27356690304 , 0 , -1.77953 , 170.968 , 38.2324 , 1 , -60.8099 , 123.492 , 68.5458 , 2 , 55.6739 , 122.727 , 77.4502 , 81.5933 , 84.6531 , 116.826 , 
27356724635 , 0 , -1.61947 , 169.977 , 36.4213 , 1 , -60.709 , 122.353 , 67.1471 , 2 , 55.8145 , 122.172 , 76.3753 , 81.8762 , 84.737 , 116.888 , 
27356760556 , 0 , -1.69222 , 169.303 , 35.0433 , 1 , -60.5892 , 122.061 , 65.8474 , 2 , 55.6578 , 122.006 , 75.0486 , 81.5451 , 84.4185 , 116.611 , 
27356784587 , 0 , -1.80331 , 168.657 , 34.322 , 1 , -60.5921 , 121.308 , 65.2076 , 2 , 55.4356 , 122.067 , 74.8984 , 81.5596 , 84.2221 , 116.434 , 
27356796577 , 0 , -1.83705 , 168.425 , 33.8872 , 1 , -60.6196 , 121.323 , 64.9749 , 2 , 55.6266 , 122.006 , 74.5724 , 81.4887 , 84.3327 , 116.644 , 
27356832537 , 0 , -1.95107 , 168.302 , 32.6742 , 1 , -60.6476 , 120.957 , 63.6694 , 2 , 55.5104 , 122.359 , 73.7091 , 81.5323 , 84.2408 , 116.6 , 
27356856526 , 0 , -1.97288 , 168.289 , 31.8011 , 1 , -60.5389 , 121.261 , 63.1563 , 2 , 55.4938 , 122.238 , 72.9341 , 81.3926 , 84.3509 , 116.448 , 
27356880574 , 0 , -1.81409 , 168.363 , 30.6122 , 1 , -60.5317 , 120.836 , 62.1505 , 2 , 56.0317 , 122.099 , 72.1975 , 81.8615 , 84.9461 , 117.002 , 
